Name,Ticker,Sector,Description
ARDOVA PLC [CG+],ARDOVA,OIL AND GAS,"Ardova Plc, formerly Forte Oil Plc, is engaged in the marketing of petroleum products, which is divided into fuels, production chemicals, lubricants, greases and power generation. The Company operates through four segments: Fuels, Upstream Services, Lubricants and Greases, and Power Generation. The Fuels segment is responsible for the sale and distribution of petroleum products (white products) and Aviation Turbine Kerosene in retail outlets and to industrial customers. The Upstream Services segment provides ancillary services to the exploration and production (E&P) sub sector of the oil and gas industry. The Lubricants and Greases segment manufactures and sells lubricants and greases. The Power Generation segment generates power. It markets industrial, organic and petro-chemicals, including hexane, acetone, calcium hydrochloride and isopropyl alcohol, to local industries. It also markets premium motor spirit, automotive gas oil, dual purpose kerosene and fuel oils, among others."
ASO SAVINGS AND LOANS PLC [DIP],ASOSAVINGS,FINANCIAL SERVICES,"ASO Savings and Loans Plc provides mortgage banking products and services in Nigeria. The company offers current and savings accounts, and fixed deposits; personal loans and home finance; and e-banking solutions, such as mobile phone, web/internet banking, ATM, and point of sale. It also offers real estate investment banking products and services, including residential and commercial real estate finance, loan syndication and financial advisory, structuring, and integrated financing; and deal underwriting and structuring, lease documents analysis, and business plan modeling services. ASO Savings and Loans Plc was incorporated in 1995 and is headquartered in Abuja, Nigeria"
ASSOCIATED BUS COMPANY PLC,ABCTRANS,SERVICES,"ABC Transport Plc is engaged in road transportation, cargo business across the road passenger network, haulage activities, importation and sales of vehicle spares, installation of motor vehicle speed governing devices, assembly of heavy-duty trucks under the automotive policy of the Federal Government of Nigeria and hospitality business. The Company's services include Cargo Express and City Transit Inn (CTI). Its Coach passenger operations segment includes long distance service using luxury buses. Its Sprinter passenger operations segment includes long distance service using midi buses. Its Shuttle passenger service segment includes shorter distance service using mini buses. Its Haulage services segment includes long distance haulage servicing manufacturers. Its Cargo services segment includes cargo services, including mails and light. The Hospitality CTI offers budget accommodation to sleep-over passengers. The Corporate and others segment is engaged in trading truck spare parts."
AXAMANSARD INSURANCE PLC [CG+],MANSARD,FINANCIAL SERVICES,"AXA Mansard Insurance Plc, together with its subsidiaries, provides life and general business risk management solutions and financial services to corporate and retail customers in Nigeria. The company offers life savings, instant plans, and education plans, as well as other life and savings products; motor insurance products; travel insurance products, such as general business/tourism, student protection, and pilgrimage protection; and health insurance products. It also provides fire and engineering insurance products comprising agriculture, boiler and pressure plant, fire and burglary, contractors all risks, electronic equipment, erection all risks, fire and special perils, householders, industrial all risks, machinery all risks and breakdown, material damage, and terrorism insurance products; and aviation and energy insurance products, such as hull all risk, spares all risks, liability, and energy package insurance products. In addition, the company offers investment services, including money market funds and equity income funds, as well as portfolio customization services. Further, it administrates and manages pension funds; and provides property development and asset management services. The company was formerly known as Mansard Insurance Plc and changed its name to AXA Mansard Insurance Plc in July 2015. The company was incorporated in 1989 and is headquartered in Lagos, Nigeria. AXA Mansard Insurance Plc operates as a subsidiary of Assur Africa Holdings Limited."
BERGER PAINTS PLC,BERGER,INDUSTRIAL GOODS,"Berger Paints Nigeria Plc is a Nigeria-based company, which is engaged in manufacturing and marketing of paints and allied products, and holds an investment property. Its segments include Paints and allied products, which is engaged in manufacturing, distributing and selling of paints and allied products; Contract revenue, which is engaged in rendering of painting services, and Investment property rental income, which is engaged in investment property rentals. Its Decorative product range includes premium, economy and budget grades of Emulsion, Gloss and Textured paints. Its Decorative brands include Luxol, Super Star and Robbialac. Its Decorative brand products include Luxol Emulsion, Clinstay, Rufhide, Fire Retardant Texcote, Luxol Gloss and Super star Emulsion. Its Non- decorative product ranges include General industrial Product, Automotive Vehicle Refinishes, and Marine and Protecton. Its products include Cellulose Enamel, Autolux, Thermoplastic Road Marker and Wood Finishes."
BETA GLASS PLC.,BETAGLAS,INDUSTRIAL GOODS,"Beta Glass Plc is engaged in manufacturing and selling of glassware. The Company manufactures, distributes and sells glass bottles and containers for the soft drinks, wine and spirit, pharmaceutical and cosmetics companies. The Company has manufacturing plants in Agbara Ogun state and in Ughelli Delta state. The Company exports to over 13 countries, including Angola, Benin, Burkina Faso, Cameroun, Gabon, Gambia, Ghana, Guinea, Liberia, Mauritius, Rwanda, Sierra Leone and Togo. The Company is a subsidiary of Frigoglass Industries Nigeria Limited."
BUA CEMENT PLC,BUACEMENT,INDUSTRIAL GOODS,"BUA Cement Plc manufactures and sells cement under the BUA Cement brand in Nigeria and internationally. It offers bagged and bulk cements. The company was incorporated in 2014 and is based in Lagos, Nigeria."
BUA FOODS PLC [BLS],BUAFOODS,CONSUMER GOODS,"BUA Foods PLC processes, manufactures, produces, and distributes various foods and food materials in Nigeria. It offers fortified and non-fortified sugar, as well as by-products, such as bagasse, molasses, and mud cakes under the BUA brand name; wheat flour and bran; pasta, including spaghetti; rice; edible oils, including palm olein, stearin, distilled fatty acid, and other products for direct and industrial uses, including soap manufacturing; and packaged foods. The company was founded in 2008 and is based in Lagos, Nigeria."
C & I LEASING PLC.,CILEASING,SERVICES,"C & I Leasing PLC is a Nigeria-based company. The Company provides transportation logistics solutions in the form of car and marine rental, fleet management as well as human resource solutions. The Company's business lines include fleet management, outsourcing and marine services. The fleet management business line provides car rental services with its Hertz Car Rental franchise, as well as fleet management services for light vehicles and heavy-duty automobiles. the personnel outsourcing business line offers human resource solutions, including personnel management, human resource outsourcing, consultancy, personnel evaluation and business process outsourcing. Its marine services business line offers a range of marine services to both onshore and offshore terminals. The Company's CITRACKS telematic solutions uses information technology for remote communication on assets, providing businesses with telematics solutions that is supported by artificial intelligence (AI)."
CADBURY NIGERIA PLC.,CADBURY,CONSUMER GOODS,"Cadbury Nigeria Plc manufactures and sells branded fast moving consumer goods to the Nigerian market and exports in West Africa. The Company produces intermediate products, such as cocoa butter, liquor, cake and powder. It exports cocoa butter, cake and liquor to international customers, and cocoa powder locally. It operates through three segments: Refreshment Beverages, Confectionery and Intermediate Cocoa Products. The Refreshment Beverages segment includes the manufacture and sale of Bournvita and Hot Chocolate. The Confectionery segment includes the manufacture and sale of Tom Tom and Buttermint. The Intermediate Cocoa Products segment includes the manufacture and sale of cocoa powder, cocoa butter, cocoa liquor and cocoa cake. The Refreshment Beverages' brands include CADBURY BOURNVITA and CADBURY 3-in-1 HOT CHOCOLATE. The Confectionery's brands include TOMTOM CLASSIC, TOMTOM STRAWBERRY and BUTTERMINT. The Intermediate Cocoa Products' brands include COCOA POWDER and COCOA BUTTER."
CAP PLC,CAP,INDUSTRIAL GOODS,"Chemical and Allied Products Plc is a Nigeria-based company, which manufactures and sells paints. The Company's segment is production and sale of paints. Its products range includes Dulux Paint and Caplux Paint. Dulux Paint includes Dulux Trade, which offers finishes, including Vinyl Silk, Vinyl Matt, Vinyl Soft Sheen, Eggshell, High Gloss, Weathershield masonry and special effect paints; Dulux Emulsion, which is an interior and exterior finish formulated on emulsion binder; Dulux Silk Emulsion, which is an acrylic-based emulsion paint with mid sheen finish, which is suitable for all interior and exterior surfaces; Dulux Weathershield, which offers various textured finishes, including Dulux Weathershield Textured, Dulux Weathershield Smooth, Dulux Weathershield Tex Matt and Dulux Weathershield Ultra; Dulux Gloss; Dulux Eggshell; Dulux Primer; Dulux Trade Ecosur, and Hammerite metal paint. Caplux paint is a standard product, which is available in emulsion, gloss and textured variants."
CAPITAL HOTEL PLC [BLS],CAPHOTE,SERVICES,"Capital Hotel Plc is a Nigeria-based company engaged in the operation of hotels and restaurants, apartment letting recreational facilities, night clubs and a business center. The Company operates through three segments: Rooms, Food and beverage, and Other services. The Rooms segment includes the sale of rooms and rent of office space. The Food and beverage segment includes the sale of rooms and rent of food and beverages. The Other services segment includes rent of office space. The Company is engaged in hotel business, which includes furnishing of hotels and the sale of accommodation, food and beverage in the ordinary course of business. The Company's Sheraton Abuja Hotel is located in Abuja Nigeria. The hotel operates and maintains restaurants, apartments for letting, recreational facilities, night club and a business center. The Company is a subsidiary is Ikeja Hotel Plc."
CAPITAL OIL PLC [MRF],CAPOIL,OIL AND GAS,"Capital Oil Plc markets and distributes petroleum products in Nigeria. It offers industrial supplies of petroleum products; sells and distributes automotive gas oils, premium motor spirits, dual purpose kerosene, LPG bottling, and lubricants; and manufactures chemical products. The company offers its products through retail outlets. It serves independent marketers and bulk buyers; and industrial, retail, and cash customers. Capital Oil Plc was founded in 1986 and is headquartered in Lagos, Nigeria."
CAVERTON OFFSHORE SUPPORT GRP PLC,CAVERTON,SERVICES,"Caverton Offshore Support Group Plc is a holding company, which operates in the marine and aviation logistics sectors of the Nigerian oil and gas industry. The Company is an oilfield services company, which is engaged in the provision of offshore services to the oil and gas industry, harbor and general marine operations, and the provision of charter, shuttle and maintenance services of helicopters and airplanes to third parties. Its segments include Helicopter Charter Services, Marine Services and All Other Segment. The Helicopters and Marine segments are engaged in providing helicopter and marine services respectively to operators in the oil and gas industry and other sundry customers. Its subsidiaries include Caverton Helicopters Limited (CHL), which is a charter, shuttle and maintenance company and Caverton Marine Limited (CML), which is a service company specializing in providing marine/special transportation services and engagement in the shipment of petroleum products."
CHAMPION BREW. PLC. [BLS],CHAMPIO,CONSUMER GOODS,"Champion Breweries Plc, formerly Champion Breweries Limited, is a Nigeria-based company, which is engaged in brewing business. The Company's principal activity is to carry on the business of brewing and marketing of alcoholic and non-alcoholic beverages in Nigeria, as well as provide contract brewing and packaging services to Nigerian Breweries Plc. The Company is involved in the brewing and marketing of Champion Lager Beer and Champ Malta. The Company operates in the Nigeria geographical segment. Its Champ Malta is a flavored beer with a golden color and aroma. The Company's Champ Malta is available in approximately 60 centiliters (cl) bottles (12 Bottles per Crate). The Company is a subsidiary of The Raysun Nigeria Limited."
CHAMS PLC,CHAMS,ICT,"Chams Plc is a Nigeria-based identity management and Identity transaction systems provider. The principal activities of the Company and its subsidiaries include identity management, payment collections and transactional systems. The Company operates through three segments: Identity Management and Solutions; Payments, Collections and Transactional Systems, and ICT Training. The Company's identity management activities include prometrics, biometrics identification with applications in the financial, healthcare, corporate and other public fields. The Company's Payments, Collections and Transactional Systems segment includes payments systems, which are engaged in building, developing and maintenance of information communication technology (ICT) infrastructures across the nation. The Company provides payment platforms through its subsidiary companies, such as ChamsAccess Limited, ChamsSwitch Limited, ChamsMobile Limited/Naira.com and Paymaster Limited."
CHELLARAMS PLC.,CHELLARAM,CONGLOMERATES,"Chellarams Plc is engaged in trading and distribution of fast moving consumer goods (FMCG), ingredients and consumer durables and industrial chemicals. The Company's product range includes whole milk powder, fat filled milk powder, skimmed milk powder and butter. The Company's trading operations are segmented into two divisions: industrial raw materials and consumer products. The portfolio of products within these two divisions consists of machinery, ingredients for food manufacturers, frozen foods, bicycles and electronics."
CONOIL PLC,CONOIL,OIL AND GAS,"Conoil Plc is a Nigeria-based company engaged in the marketing of refined petroleum products, manufacturing and marketing of lubricants, household and liquefied petroleum gas for domestic and industrial use. The Company operates through three segments: White products, Lubricants and Liquefied Petroleum Gas (LPG). The White products segment is involved in the sale of premium motor spirit (PMS), aviation turbine kerosene (ATK), dual purpose kerosene (DPK), low-pour fuel oil (LPFO) and automotive gasoline/grease oil (AGO). The products under the lubricants segment are lubricants transport, lubricants industrial, greases, process oil and bitumen. Products traded under LPG segment include liquefied petroleum gas-bulk, liquefied petroleum gas-packed, cylinders and valves."
CONSOLIDATED HALLMARK INSURANCE PLC,CHIPLC,FINANCIAL SERVICES,"Consolidated Hallmark Insurance Plc provides insurance products and services in Nigeria. The company offers motor 3rd party, oil and gas, contractors-all-risk, plant-all-risk, bonds, personal accident, aviation, travel, motor comprehensive, motor 3rd party fire and theft, home, burglary, fire and special perils; fire and burglary; marine, money, machinery breakdown, all risks, consequential loss, professional indemnity, and goods-in-transit insurance products. It also provides long- and short-term financing, including L.P.O financing, consumer lease, working capital financing, auto lease, project financing, and intermediation; and financial management consultancy services, as well as portfolio management, short term lending, equipment leasing, and health management services. The company was formerly known as Consolidated Risk Insurers Plc and changed its name to Consolidated Hallmark Insurance Plc in March 2007. Consolidated Hallmark Insurance Plc was incorporated in 1991 and is headquartered in Lagos, Nigeria."
CORNERSTONE INSURANCE PLC [CG+],CORNERS,FINANCIAL SERVICES,"Cornerstone Insurance Plc is an insurance company. The Company is engaged in provision of risk underwriting and related financial services to its customers. The Company's services include provision of life and non-life insurance services for both corporate and individual customers. The Company's segments include Non-life insurance, Life insurance, Halal Islamic Insurance, Asset management, Fin Insurance Company Limited and Cornerstone Leasing and Investment Limited. The Company caters to do both General and Life businesses and the classes of Insurance business it serves, including Motor Vehicle, Aviation, Marine, Engineering All Risks, Asset Protection, Liability to Third Party, Oil & Gas, Group Life, Credit Life, Mortgage Protection, Term Assurance, Wealth Creation Products and Takaful (Islamic Insurance). The Company, through its subsidiaries, is engaged in various business lines ranging from property-casualty insurance, life/health insurance, asset management and leasing."
CORONATION INSURANCE PLC [CG+],WAPIC,FINANCIAL SERVICES,"Coronation Insurance Plc, formerly Wapic Insurance Plc, is engaged in the business of underwriting life and non-life insurance risks and also issues a diversified portfolio of investment contracts products to provide its customers with asset management solutions for their savings and target investment plans. The Company is engaged in the provision of various classes of insurance services, such as general accident, fire, motor, engineering, marine insurance aviation, oil and gas, and other special risks. The Company's segments include General Business and Life Business. The General Business segment covers the protection of customers assets (particularly their properties, both for personal and commercial business) and indemnification of other parties that have suffered damage as a result of customers accidents. The Company's Life Business segment covers the protection of the Company's customers against the risk of premature death, disability, critical illness and other accidents."
COURTEVILLE BUSINESS SOLUTIONS PLC,COURTVI,ICT,"Courteville Business Solutions PLC is a Nigeria-based company engaged in providing e-business solutions and advisory services. The Company offers a range of solutions, including AutoReg MVAD, e-commerce, education, e-Government and Webpeople. AutoReg MVAD offers AutoReg vehicle license, AutoReg inspector, AutoInsure, road worthiness and vehicle test. The e-commerce offering include SMELite, which is a Web-based hub and financial management portal for small and medium scale enterprises (SMEs). Education offers P-SEAMS, Thee-Government offers REPAS and CIID. Webpeople offers Website development including Web application development, Website designing, e-commerce solutions, application development, maintenance and re-engineering, Web hosting solutions , search engine optimization and flash development."
CUSTODIAN INVESTMENT PLC [CG+],CUSTODIAN,FINANCIAL SERVICES,"Custodian Investment Plc, through its subsidiaries, provides various insurance products and services in Nigeria. The company offers general insurance products, such as auto, travel, home, event, personal accident, and other insurance products; and life insurance products, including savings and investment, endowment, protection, annuity, and other products. It also provides private, corporate, and public trust services; company secretarial services; pension services; and hospitality, property development and management, and asset management services. The company was formerly known as Custodian and Allied Insurance Limited. Custodian Investment Plc was incorporated in 1991 and is headquartered in Lagos, Nigeria."
CUTIX PLC.,CUTIX,INDUSTRIAL GOODS,"Cutix Plc is engaged in the manufacturing and marketing of electrical, automobile and telecommunication wires, cables and related products. The Company's product range includes Bare Copper Conductors on Reel, Bare Stranded Copper Conductor, Insulated Copper Conductors on Reel, polyvinyl chloride (PVC) Insulated Copper Cables, PVC Insulated Single/Double Sheathed-Core Aluminum Cable, PVC Insulated and Sheathed Flat Twin/Three-Core Copper Cables, 4 Core Aluminum Twist Cables, Bare Aluminum Conductor (BAC) Low Tension, Bare Stranded Aluminum Conductor (Overhead), Aluminum Conductor Steel Reinforced, Flat Flexible Cable, Round Flexible Cables, Automotive Cables and PVC Insulated and Sheathed Armored Cables. The Company operates a production site covering an area of approximately 6,000 square meters. Its focuses on producing power cable of various sizes in low voltage ranges of PVC, cross-linked polyethylene (XLPE) and PE. The Company's factory premises are located in Otolo, Nnewi."
CWG PLC [BLS],CWG,ICT,"CWG Plc engages in the supply, installation, integration, maintenance, and support of computer equipment, e-payment hardware, and ancillary equipment in Nigeria and internationally. The company operates through IT Infrastructure, Communication and Integrated Services, Managed Support Services, Cloud Services, and Software segments. The IT Infrastructure segment supplies, installs, and supports computer hardware; and operates middleware systems and automated teller machines. The software services segment provides services in software deployment, implementation, software support services, and software enhancement and customization. The company’s Managed Support Services segment provides service desk outsourcing services, as well as related accessories for equipment and service maintenance. The Cloud Services segment provides E-government solution, third party solution, and permits, including building permits, stamp duty, gambling permits, business permits, and liquor permits; and e-gaming a web application that automates the regulation, promotion, control and taxation of gaming activities. The company was formerly known as Computer Warehouse Group Plc. CWG Plc was founded in 1992 and is headquartered in Lagos, Nigeria."
DAAR COMMUNICATIONS PLC,DAARCOM,SERVICES,"DAAR Communications Plc is a Nigeria-based broadcast company. The Company is a media and entertainment company engaged in the development, production, and marketing of entertainment news, and information. It also owns and operates a portfolio of news and entertainment television networks. The Company's segments include Raypower FM, AIT/Television, DAAR News and DAAR UK Operations. Its Raypower FM operates Raypower 100.5FM radio station, which debuts commercial broadcasting. The programs on Raypower include current affairs, global music programs, sports, news, business news, weather reports, specials, cultural and health tips. AIT/Television provides a slant to television broadcasting with a programming theme that shares the African experience with the global community. The programs on AIT include news, current affairs, public enlightenment, business, musicals, sports, magazine/talk shows, cultural and tourism. DAAR UK Operations markets DAAR channels in the United Kingdom."
DANGOTE CEMENT PLC [CG+],DANGCEM,INDUSTRIAL GOODS,"Dangote Cement Plc is a producer of cement, and operates plants for the preparation, manufacture and distribution of cement and related products. The Company operates through two segments: Nigeria and Pan Africa. The Company, through its subsidiaries, is engaged in exploration, coal production, cement grinding, power production and limestone mining operations, among others. Its Nigerian operations include its three manufacturing plants in Nigeria: Obajana Cement Plant in Kogi State, Gboko Cement Plant in Benue State and Ibese plant in Ogun State. Its Pan African operations include its factories or import facilities in Cameroon, Ethiopia, Ghana, Senegal, South Africa, Tanzania and Zambia. It is also focused on operating in Congo and Sierra Leone. Its subsidiaries include Dangote Cement South Africa (Pty) Limited, Dangote Industries (Ethiopia) Plc, Dangote Industries Limited, Tanzania, Dangote Cement Cameroun S.A and Dangote Cement Senegal S.A."
DANGOTE SUGAR REFINERY PLC [CG+],DANGSUGAR,CONSUMER GOODS,"Dangote Sugar Refinery Plc is a Nigeria-based company, which is engaged in refining raw sugar into edible sugar and sells refined sugar. The Company's products include Vitamin A-fortified sugar and Unfortified industrial sugar. The Company's Vitamin A fortified sugar is a fine white granulated sugar, which is the all-purpose white sugar that is ideal for table use, baking and sweetening of beverages. The Company's unfortified sugar is a specially processed sugar grade used by pharmaceuticals, food and beverage manufacturing companies. The Company produces and packages Vitamin A fortified refined white sugar in approximately one kilogram, approximately 500 grams, approximately 250 grams and over 50 kilograms bags for direct consumption under the brand name Dangote Sugar, as well as the unfortified white sugar for industrial use."
DEAP CAPITAL MANAGEMENT & TRUST PLC [DWL],DEAPCAP,FINANCIAL SERVICES,"DEAP Capital Management & Trust Plc is a Nigeria-based fund management company. The Company operates in the capital market, mortgage banking, and oil and gas sectors. Its major products include DEAP Standard, DEAP Gold, DEAP Platinum and DEAP Classic. Its major services include fund management, portfolio management, capital market/financial advisory services and issuing house services. Its major subsidiaries include Resort Securities & Trust Limited, Resort Savings & Loans Limited and DVCF Oil & Gas PLC."
DN TYRE & RUBBER PLC [MRS],DUNLOP,CONSUMER GOODS,"DN Tyre & Rubber Plc is a marketer of automotive tires. The Company's products include A606, which is a combination of over four wide circumferential tread grooves and bead profile design; A607, which consists of approximately four wide circumferential tread grooves and lateral grooves with fine spies that provide water evacuation, and TS344, which is an all-position general purpose tire specifically designed for the medium commercial vehicle range. It offers a range of tire sizes, such as car tires, mini- van tires, sports utility vehicle (SUV) tires and truck/bus. Its car tires include 175/70R14, 185/65R14, 185/70R14, 195/70R14, 195/65R15, 205/65R15, 205/70R15, 205/55R16, 215/55R16, 215/60R16 and 215/65R16. Its van and light truck tires include 185/80R14C, 195R14C, 205R14C, 195R15C and 205R16C. Its SUV tires include 205/70R15, 245/70R16, 265/70R16, 275/70R16, 265/70R17 and 285/65R17. Its truck/bus tires include 11R 22.5, 12 R22.5, 295/80 R22.5 and 315/80 R22.5."
E-TRANZACT INTERNATIONAL PLC [CG+],ETRANZ,ICT,"eTranzact International Plc is a payment technology provider. The Company is principally engaged in the processing of all facets of electronic payment transactions using its switching platform. The Company's segments are Air time purchases, Other commissions, and Maintenance and support services, software development and others. The Company also provides maintenance and software development services. The switching platform processes transactions across various channels, which include mobile phones (global system for mobile communications (GSM), code division multiple access (CDMA) or analog), Web (using any Internet browser in a secured transaction), point of sale (POS), automated teller machine (ATM), other mobile devices and bank branches. Its products include eTranzact Genesis, eRemit, eTranzact ATM CardlexCash, eTranzact WebConnect, eTranzact CorporatePay, eTranzact Strong Authentication, eTranzact WebConnect and eTranzact mCommerce."
ECOBANK TRANSNATIONAL INCORPORATED,ETI,FINANCIAL SERVICES,"Ecobank Transnational Incorporated SA, formerly known as Ecobank Transnational Incorporated (ETI) is a bank holding company engaged in the provision of banking and financial services through its subsidiaries. Its segments are Domestic, Corporate and Investment Banking (CIB), and Treasury. The Domestic segment focuses on serving local companies, small and medium scale enterprises, government and government agencies, and retail market. The Corporate Bank focuses on providing banking services to multinationals and regional companies, financial institutions and international organizations. The Investment Bank constitutes corporate finance and asset management business. ETI's Treasury segment provides value-added solutions, such as foreign exchange (FX), fixed income and money market activities primarily to Corporate and Investment Bank, and Domestic Bank clients. Its Treasury activities include sales, trading, balance sheet management, and currency and African assets distribution (CAAD)."
EKOCORP PLC. [BLS],EKOCORP,HEALTHCARE,"EkoCorp Plc provides healthcare services in Nigeria. It provides diagnosis, laboratory test, scanning, X-ray, and surgery services. The company was founded in 1977 and is based in Lagos, Nigeria."
ELLAH LAKES PLC.,ELLAHLA,AGRICULTURE,"Ellah Lakes Plc engages in the fish farming and agricultural related activities in Nigeria. It produces and markets fresh water fish; and deals in oil palm produces and plantations. The company was founded in 1980 and is headquartered in Benin City, Nigeria."
ETERNA PLC.,ETERNAO,OIL AND GAS,"Eterna Plc is a Nigeria-based company engaged in the manufacturing and marketing of lubricating oils and petrochemicals, importation and sale of fuels through its retail outlets, gas, power, upstream supply and technical services for companies in the oil industry. The Company's segments include Retail and Industrial, Lubricants and Chemicals, and Trading. The Retail and Industrial segment is engaged in the sale and distribution of petroleum products (white products and lubricants) in retail outlets and small units and to industrial customers across Nigeria. The Lubricants and Chemicals segment is involved in the manufacture and distribution of lubricants and chemicals to marine and energy customers across Nigeria. The Trading segment is involved in the bulk importation and sale of fuels (premium motor spirit (PMS), automotive gas oil (AGO), dual purpose kerosene (DPK)), base oils, bitumen and low pour fuel oil (LPFO), as well as involved in lifting and sales of crude oil."
